distance_km,time_of_day,traffic_level,weather,prep_time_min,delivery_time_minutes
4.4,morning,medium,clear,7,26
6.6,afternoon,low,rain,16,39
4.5,evening,low,clear,8,24
3.6,evening,medium,clear,17,39
5.4,afternoon,low,rain,7,27
7.5,afternoon,low,clear,25,47
2.1,morning,medium,rain,24,42
6.3,morning,high,clear,7,35
2.0,night,medium,clear,24,37
7.3,afternoon,high,clear,16,49
1.9,evening,high,clear,20,43
1.9,morning,medium,clear,10,20
6.5,evening,high,clear,18,54
3.7,morning,high,rain,13,43
5.3,afternoon,low,clear,9,27
8.5,night,low,clear,23,49
7.5,evening,high,clear,21,62
3.7,night,low,clear,12,29
8.7,evening,high,rain,20,69
1.9,morning,low,clear,12,16
9.1,evening,high,clear,18,63
2.6,night,medium,rain,15,39
7.2,night,medium,clear,10,38
7.5,afternoon,low,rain,25,53
6.1,night,low,rain,18,46
8.8,afternoon,medium,rain,10,49
5.0,morning,medium,rain,7,34
7.1,afternoon,high,rain,23,62
7.3,morning,medium,clear,22,47
7.1,night,low,clear,7,33
2.4,night,medium,clear,9,26
3.9,evening,medium,clear,23,42
6.8,night,low,clear,21,45
6.2,morning,medium,rain,17,44
5.5,morning,low,rain,20,39
5.9,morning,high,rain,23,59
6.9,night,medium,rain,8,45
8.6,evening,high,rain,18,67
2.0,afternoon,low,rain,18,31
9.7,evening,high,rain,10,58
2.5,afternoon,high,rain,10,34
2.8,morning,medium,clear,21,36
2.7,evening,low,rain,8,28
8.5,morning,medium,rain,25,64
2.2,night,low,clear,24,37
8.5,night,high,clear,25,64
8.3,morning,medium,rain,23,61
4.8,afternoon,medium,rain,17,45
5.1,afternoon,low,rain,26,48
7.7,evening,high,rain,24,69
2.8,evening,high,rain,11,44
6.9,afternoon,high,rain,10,50
6.1,night,high,rain,20,62
5.7,morning,medium,clear,8,31
2.8,afternoon,medium,rain,11,32
7.2,evening,low,clear,18,45
1.9,afternoon,high,rain,14,37
8.2,evening,high,clear,19,58
9.6,evening,high,clear,7,53
2.8,night,low,rain,25,43
6.4,afternoon,medium,rain,12,45
1.7,afternoon,high,clear,19,33
3.5,evening,low,clear,25,41
1.1,night,high,clear,8,25
3.9,morning,high,rain,22,53
6.0,morning,high,rain,23,57
2.7,morning,high,clear,20,40
4.6,evening,low,clear,17,33
3.6,night,high,clear,10,37
5.0,afternoon,low,rain,19,42
9.5,night,medium,rain,7,52
8.4,evening,high,rain,22,66
9.1,afternoon,medium,clear,10,40
9.6,morning,high,clear,13,54
8.0,night,low,clear,24,53
8.9,night,high,clear,11,50
7.5,morning,low,clear,8,28
3.3,morning,high,clear,15,36
5.1,night,medium,rain,7,36
2.1,morning,high,clear,25,40
8.6,evening,high,clear,16,59
3.7,morning,medium,rain,19,40
6.9,night,low,clear,11,37
8.2,evening,high,clear,16,57
9.2,evening,low,clear,10,38
6.2,night,high,clear,16,48
7.7,evening,low,rain,23,53
2.7,evening,low,clear,12,25
6.1,morning,high,rain,24,57
7.0,evening,low,clear,25,49
4.0,afternoon,high,clear,10,32
1.6,afternoon,medium,rain,21,35
6.9,afternoon,high,rain,17,58
2.5,evening,low,clear,20,30
4.2,evening,medium,rain,21,47
3.7,morning,low,clear,15,28
2.3,afternoon,medium,clear,9,23
8.6,morning,high,rain,25,67
1.3,evening,high,rain,11,36
3.0,evening,low,rain,23,42
4.6,morning,high,clear,26,52
7.8,afternoon,medium,clear,12,40
6.1,afternoon,high,rain,18,51
7.9,afternoon,low,rain,18,46
7.0,evening,medium,rain,21,59
1.4,evening,low,rain,15,29
6.1,night,high,rain,18,58
9.1,morning,high,rain,19,67
3.0,night,medium,rain,22,47
9.0,morning,high,clear,21,57
1.7,evening,low,clear,12,19
6.4,morning,high,clear,20,53
7.5,night,high,rain,22,64
2.5,night,low,clear,8,17
6.3,afternoon,high,clear,25,53
2.5,afternoon,high,rain,26,54
6.7,evening,low,clear,21,45
5.2,night,low,clear,20,40
8.2,afternoon,high,rain,12,55
4.1,night,high,clear,14,41
2.2,morning,low,rain,11,24
2.6,morning,high,clear,9,28
2.2,morning,high,rain,23,47
8.9,night,low,rain,19,54
8.2,morning,medium,clear,15,44
3.1,morning,medium,rain,15,33
7.4,morning,high,clear,23,54
6.9,evening,medium,rain,10,43
6.9,evening,medium,rain,25,59
3.5,night,low,rain,24,46
5.3,evening,high,rain,15,55
6.2,night,high,clear,10,46
5.0,afternoon,low,clear,23,37
4.0,morning,low,rain,7,26
8.4,night,high,rain,9,53
3.0,morning,high,clear,19,42
4.6,evening,high,clear,12,42
5.0,afternoon,high,rain,13,43
6.4,afternoon,high,clear,8,38
6.9,afternoon,low,rain,19,44
4.6,afternoon,high,clear,9,37
5.9,evening,medium,rain,14,47
2.8,night,high,clear,15,37
5.6,morning,high,rain,17,54
8.2,evening,high,rain,21,70
6.1,afternoon,medium,rain,21,52
8.8,night,low,rain,9,44
8.1,afternoon,high,clear,17,52
4.2,morning,high,rain,14,43
4.6,evening,low,clear,22,38
3.0,evening,low,clear,22,36
3.1,afternoon,medium,clear,14,26
3.2,evening,low,clear,10,26
7.1,night,high,clear,24,64
8.6,evening,high,rain,22,72
8.9,evening,medium,clear,23,57
3.0,afternoon,low,rain,22,39
1.3,evening,medium,clear,21,36
7.3,night,medium,clear,7,38
4.4,morning,medium,rain,26,52
2.7,evening,low,rain,22,42
4.1,afternoon,medium,rain,13,35
7.8,evening,medium,rain,21,57
2.2,afternoon,low,rain,14,26
8.7,afternoon,low,clear,22,49
2.6,night,low,rain,22,38
6.1,morning,medium,clear,12,32
8.3,night,high,clear,21,63
3.3,evening,high,rain,18,47
2.1,afternoon,high,clear,16,33
7.1,night,high,rain,9,51
3.6,afternoon,low,rain,20,37
6.1,morning,low,clear,17,33
3.9,evening,high,rain,26,60
3.4,night,medium,rain,20,43
8.7,afternoon,high,clear,15,55
7.3,morning,low,clear,19,38
1.6,night,high,clear,7,29
5.7,morning,low,rain,26,47
6.9,night,medium,clear,14,45
5.0,afternoon,low,clear,7,19
4.2,evening,medium,rain,24,54
5.9,afternoon,high,clear,25,55
6.7,night,high,rain,18,59
3.0,morning,medium,rain,18,37
2.4,morning,low,clear,18,23
5.8,night,medium,rain,7,40
8.2,afternoon,low,rain,13,43
6.0,night,low,clear,19,42
3.0,morning,medium,clear,23,38
9.2,evening,medium,rain,20,60
1.6,afternoon,medium,clear,21,31
3.4,night,low,rain,7,25
9.7,morning,low,clear,16,43
7.4,morning,low,clear,11,30
3.0,night,medium,rain,18,41
8.1,evening,low,clear,8,34
4.5,night,low,clear,15,34
8.5,morning,high,clear,19,58
5.0,morning,low,rain,10,31
9.8,night,medium,rain,17,59
7.6,morning,medium,rain,16,47
9.0,afternoon,low,clear,20,45
2.5,evening,high,clear,19,44
1.1,morning,high,rain,26,45
7.9,afternoon,low,rain,9,39
4.0,morning,low,rain,11,30
8.1,afternoon,medium,clear,17,49
8.1,evening,medium,clear,7,41
4.2,afternoon,medium,clear,22,40
6.0,night,low,clear,24,45
7.6,evening,high,clear,9,47
5.0,evening,high,rain,21,55
6.7,night,high,clear,7,43
4.3,afternoon,medium,clear,24,43
2.7,night,high,clear,26,48
4.7,evening,low,clear,23,42
1.4,afternoon,low,clear,13,14
2.7,morning,high,rain,22,48
7.3,evening,low,rain,14,46
1.6,afternoon,high,rain,9,31
6.8,evening,high,rain,18,62
1.5,evening,high,clear,9,31
1.7,afternoon,high,clear,10,28
5.8,afternoon,low,clear,25,43
2.6,night,high,clear,25,47
5.1,night,low,clear,12,31
5.5,afternoon,high,rain,18,54
6.0,evening,medium,rain,20,54
3.9,afternoon,high,clear,19,44
9.3,evening,medium,rain,21,66
1.0,morning,medium,clear,23,28
9.0,morning,medium,clear,13,47
1.2,evening,high,clear,10,26
4.2,afternoon,medium,rain,25,47
3.3,evening,low,rain,25,47
7.6,evening,medium,clear,22,55
7.2,morning,high,rain,8,48
6.2,morning,low,rain,18,44
4.9,morning,low,clear,19,31
5.7,evening,high,clear,17,50
3.0,morning,high,rain,21,49
6.2,morning,low,rain,16,42
2.3,evening,low,rain,25,43
5.9,evening,low,rain,23,50
7.3,afternoon,medium,clear,22,48
6.1,afternoon,low,clear,15,34
3.9,morning,low,rain,20,36
2.7,evening,high,clear,16,38
4.1,night,high,clear,21,46
8.4,afternoon,high,rain,11,55
8.7,morning,high,clear,14,54
9.3,evening,low,rain,10,46
5.2,evening,low,clear,13,32
7.8,night,high,clear,7,45
9.2,morning,medium,clear,8,39
8.1,evening,low,rain,7,38
6.9,evening,low,clear,16,42
6.8,afternoon,medium,clear,17,42
6.4,morning,low,clear,23,45
6.0,morning,low,clear,23,39
5.4,afternoon,low,rain,18,39
3.7,evening,low,rain,19,42
8.3,morning,high,rain,14,54
9.1,afternoon,low,rain,23,59
6.5,afternoon,medium,clear,25,47
9.7,evening,medium,clear,13,52
6.2,afternoon,low,rain,23,50
4.9,afternoon,high,clear,17,41
5.8,morning,low,rain,11,35
7.9,night,medium,rain,21,61
8.4,evening,low,clear,10,36
1.2,evening,high,clear,26,43
7.2,evening,low,rain,11,42
6.4,evening,low,rain,22,51
2.5,afternoon,low,rain,7,23
9.6,afternoon,high,clear,13,51
9.3,night,high,rain,17,69
9.0,night,medium,clear,26,63
4.4,evening,medium,clear,23,42
5.1,morning,low,rain,8,29
5.6,morning,low,rain,21,43
3.7,evening,medium,clear,20,38
9.3,afternoon,medium,rain,9,49
2.0,afternoon,medium,rain,17,33
2.6,afternoon,medium,clear,15,26
6.8,afternoon,high,clear,9,39
5.0,evening,low,rain,23,48
2.4,night,low,clear,17,28
6.9,afternoon,low,clear,12,34
1.5,evening,medium,rain,16,36
2.1,afternoon,low,clear,26,33
1.1,night,medium,clear,26,40
3.1,night,medium,rain,21,42
6.4,afternoon,high,rain,26,63
8.4,afternoon,low,clear,11,33
4.1,afternoon,low,rain,17,37
1.4,night,low,clear,16,24
7.2,afternoon,medium,rain,8,38
3.7,evening,medium,clear,20,42
1.6,night,low,clear,15,22
4.7,afternoon,high,clear,26,49
6.1,morning,medium,rain,20,49
3.8,evening,low,rain,23,45
5.5,afternoon,high,clear,16,47
1.0,morning,medium,clear,13,22
10.0,night,low,rain,18,58
6.7,morning,high,clear,16,46
1.6,evening,high,rain,7,31
4.0,night,high,clear,12,38
8.5,night,medium,clear,11,45
6.6,evening,medium,rain,8,44
3.7,evening,high,clear,13,40
4.0,evening,low,clear,15,33
4.1,night,high,clear,25,53
2.7,morning,medium,rain,8,25
1.8,afternoon,medium,rain,16,30
3.7,morning,medium,clear,13,31
5.0,morning,medium,clear,13,32
5.4,evening,medium,clear,10,37
9.4,afternoon,low,clear,21,48
8.8,morning,low,rain,8,41
6.3,morning,medium,rain,8,35
7.9,evening,low,rain,13,45
2.7,evening,high,rain,21,52
3.5,afternoon,medium,clear,7,25
6.0,morning,low,rain,24,46
2.3,evening,high,clear,12,32
6.5,evening,high,rain,8,47
5.2,morning,low,rain,8,27
4.5,night,high,rain,16,50
2.8,morning,medium,clear,9,24
9.3,night,low,rain,16,55
7.4,night,medium,clear,14,43
9.1,evening,medium,rain,12,55
7.0,evening,medium,rain,7,40
2.0,night,medium,clear,16,32
6.4,afternoon,high,clear,19,52
8.2,evening,high,clear,16,56
4.6,night,low,clear,24,39
5.3,morning,medium,clear,25,45
9.8,evening,high,clear,12,58
1.7,night,low,rain,17,32
8.4,afternoon,medium,rain,9,45
7.2,night,medium,rain,8,42
8.4,morning,low,clear,21,46
4.5,night,low,clear,17,33
8.1,evening,medium,rain,9,48
6.5,night,low,rain,8,36
5.9,morning,low,rain,10,35
8.8,afternoon,medium,rain,17,55
4.7,night,high,clear,12,41
