Age,Income,Employment_Length,Education,Credit_Score,Existing_Loans,Loan_Amount,Loan_Purpose,DTI,Monthly_Expenses,Savings,Home_Ownership,Marital_Status,Loan_Default
34,85000,7,Bachelors,742,1,650000,Car,28,42000,480000,Own,Married,No
29,62000,4,Masters,688,2,300000,Home,35,31000,120000,Rent,Single,No
41,112000,12,PhD,801,0,950000,Home,22,56000,720000,Own,Married,No
26,48000,2,Bachelors,615,1,150000,Personal,40,24000,45000,Rent,Single,Yes
38,95000,9,Masters,789,1,720000,Car,26,47500,580000,Own,Married,No
31,72000,5,Bachelors,701,2,450000,Home,32,36000,200000,Rent,Married,No
45,130000,18,PhD,823,0,1100000,Home,19,65000,980000,Own,Married,No
27,54000,3,Associate,592,1,180000,Personal,42,27000,30000,Rent,Single,Yes
33,88000,8,Masters,756,1,600000,Car,27,44000,510000,Own,Married,No
36,102000,10,Bachelors,772,2,820000,Home,25,51000,670000,Own,Married,No
30,66000,4,Masters,718,0,350000,Car,30,33000,140000,Rent,Single,No
42,118000,15,PhD,845,1,980000,Home,21,59000,890000,Own,Married,No
28,58000,3,Bachelors,634,2,220000,Personal,38,29000,75000,Rent,Single,Yes
37,97000,11,Masters,793,0,700000,Car,24,48500,630000,Own,Married,No
25,45000,1,Associate,580,1,120000,Personal,45,22500,18000,Rent,Single,Yes
39,105000,13,PhD,812,2,880000,Home,23,52500,740000,Own,Married,No
32,79000,6,Bachelors,735,1,500000,Car,29,39500,360000,Rent,Married,No
44,125000,17,Masters,837,0,1050000,Home,20,62500,950000,Own,Married,No
30,68000,5,Associate,678,2,280000,Personal,33,34000,110000,Rent,Single,Yes
35,92000,8,Masters,765,1,650000,Car,28,46000,540000,Own,Married,No
40,108000,14,PhD,808,1,900000,Home,22,54000,810000,Own,Married,No
27,52000,2,Bachelors,605,1,160000,Personal,41,26000,38000,Rent,Single,Yes
33,86000,7,Masters,748,0,580000,Car,27,43000,490000,Own,Married,No
46,135000,20,PhD,855,0,1150000,Home,18,67500,1020000,Own,Married,No
29,64000,4,Associate,622,2,250000,Home,36,32000,95000,Rent,Single,No
38,99000,12,Masters,796,1,740000,Car,25,49500,660000,Own,Married,No
24,41000,1,High School,555,1,90000,Personal,48,20500,12000,Rent,Single,Yes
31,75000,6,Bachelors,729,2,420000,Home,31,37500,220000,Rent,Married,No
43,120000,16,PhD,829,0,1000000,Home,20,60000,880000,Own,Married,No
28,56000,3,Associate,610,1,200000,Personal,39,28000,55000,Rent,Single,Yes
36,94000,9,Masters,778,1,680000,Car,26,47000,590000,Own,Married,No
47,140000,19,PhD,850,0,1200000,Home,17,70000,1100000,Own,Married,No
30,70000,5,Bachelors,714,0,380000,Car,30,35000,160000,Rent,Single,No
34,89000,8,Masters,759,2,620000,Home,27,44500,530000,Own,Married,No
41,115000,15,PhD,836,1,960000,Home,21,57500,850000,Own,Married,No
26,50000,2,Associate,598,1,140000,Personal,42,25000,28000,Rent,Single,Yes
39,101000,11,Masters,804,0,780000,Car,24,50500,690000,Own,Married,No
32,82000,6,Bachelors,740,1,520000,Home,28,41000,400000,Rent,Married,No
45,128000,18,PhD,842,0,1080000,Home,19,64000,970000,Own,Married,No
29,60000,4,Associate,628,2,240000,Personal,37,30000,85000,Rent,Single,Yes
37,98000,10,Masters,790,1,710000,Car,25,49000,640000,Own,Married,No
23,38000,1,High School,540,1,80000,Personal,50,19000,8000,Rent,Single,Yes
35,91000,8,PhD,771,0,560000,Home,27,45500,500000,Own,Married,No
42,122000,16,Masters,832,1,990000,Home,20,61000,900000,Own,Married,No
28,57000,3,Bachelors,618,2,210000,Personal,39,28500,68000,Rent,Single,Yes
40,106000,12,PhD,816,0,850000,Car,22,53000,760000,Own,Married,No
31,74000,6,Masters,725,1,460000,Home,31,37000,230000,Rent,Married,No
46,132000,19,PhD,848,0,1120000,Home,18,66000,1010000,Own,Married,No
30,68000,5,Associate,665,2,290000,Personal,34,34000,115000,Rent,Single,Yes
38,100000,11,Masters,798,1,730000,Car,24,50000,670000,Own,Married,No
27,53000,2,Bachelors,607,1,170000,Personal,41,26500,42000,Rent,Single,Yes
44,126000,17,PhD,840,0,1060000,Home,19,63000,940000,Own,Married,No
33,85000,7,Masters,752,0,590000,Car,27,42500,510000,Own,Married,No
39,104000,13,Bachelors,810,1,870000,Home,23,52000,730000,Own,Married,No
25,44000,1,Associate,576,1,110000,Personal,44,22000,20000,Rent,Single,Yes
36,96000,9,PhD,785,0,690000,Car,26,48000,600000,Own,Married,No
48,142000,22,Masters,858,0,1180000,Home,17,71000,1120000,Own,Married,No
29,63000,4,Associate,625,2,260000,Home,36,31500,98000,Rent,Single,No
37,99000,10,Masters,793,1,750000,Car,25,49500,650000,Own,Married,No
24,40000,1,High School,548,1,95000,Personal,49,20000,10000,Rent,Single,Yes
32,78000,6,Bachelors,730,2,430000,Home,30,39000,240000,Rent,Married,No
43,123000,16,PhD,834,0,1010000,Home,20,61500,910000,Own,Married,No
28,55000,3,Associate,612,1,190000,Personal,40,27500,52000,Rent,Single,Yes
35,93000,8,Masters,775,1,670000,Car,26,46500,580000,Own,Married,No
47,138000,21,PhD,852,0,1160000,Home,18,69000,1080000,Own,Married,No
31,71000,5,Bachelors,717,0,390000,Car,30,35500,170000,Rent,Single,No
34,88000,7,Masters,761,2,610000,Home,27,44000,520000,Own,Married,No
41,116000,15,PhD,838,1,970000,Home,21,58000,860000,Own,Married,No
26,51000,2,Associate,595,1,150000,Personal,42,25500,30000,Rent,Single,Yes
39,102000,12,Masters,806,0,790000,Car,24,51000,700000,Own,Married,No
32,83000,7,Bachelors,742,1,530000,Home,28,41500,410000,Rent,Married,No
45,129000,19,PhD,845,0,1090000,Home,19,64500,980000,Own,Married,No
29,61000,4,Associate,630,2,245000,Personal,37,30500,88000,Rent,Single,Yes
38,97000,10,Masters,788,1,715000,Car,25,48500,635000,Own,Married,No
23,39000,1,High School,545,1,85000,Personal,50,19500,9000,Rent,Single,Yes
36,92000,9,PhD,774,0,570000,Home,27,46000,505000,Own,Married,No
42,123000,16,Masters,833,1,995000,Home,20,61500,905000,Own,Married,No
28,58000,3,Bachelors,620,2,215000,Personal,39,29000,70000,Rent,Single,Yes
40,107000,13,PhD,818,0,860000,Car,22,53500,770000,Own,Married,No
31,76000,6,Masters,727,1,470000,Home,31,38000,235000,Rent,Married,No
46,133000,20,PhD,849,0,1130000,Home,18,66500,1020000,Own,Married,No
30,69000,5,Associate,668,2,295000,Personal,34,34500,118000,Rent,Single,Yes
38,101000,11,Masters,800,1,735000,Car,24,50500,675000,Own,Married,No
27,54000,2,Bachelors,609,1,175000,Personal,41,27000,44000,Rent,Single,Yes
44,127000,18,PhD,841,0,1070000,Home,19,63500,950000,Own,Married,No
33,86000,7,Masters,754,0,595000,Car,27,43000,515000,Own,Married,No
39,105000,13,Bachelors,812,1,875000,Home,23,52500,735000,Own,Married,No
25,45000,1,Associate,578,1,115000,Personal,44,22500,22000,Rent,Single,Yes
36,97000,9,PhD,786,0,695000,Car,26,48500,605000,Own,Married,No
48,143000,23,Masters,860,0,1190000,Home,17,71500,1130000,Own,Married,No
29,64000,4,Associate,627,2,265000,Home,36,32000,99000,Rent,Single,No
37,100000,10,Masters,795,1,755000,Car,25,50000,655000,Own,Married,No
24,41000,1,High School,550,1,98000,Personal,49,20500,11000,Rent,Single,Yes
32,79000,6,Bachelors,732,2,440000,Home,30,39500,245000,Rent,Married,No
43,124000,16,PhD,835,0,1020000,Home,20,62000,920000,Own,Married,No
28,56000,3,Associate,614,1,195000,Personal,40,28000,54000,Rent,Single,Yes
35,94000,8,Masters,777,1,675000,Car,26,47000,585000,Own,Married,No
47,139000,22,PhD,853,0,1170000,Home,18,69500,1090000,Own,Married,No
31,72000,5,Bachelors,719,0,395000,Car,30,36000,175000,Rent,Single,No
34,89000,8,Masters,763,2,615000,Home,27,44500,525000,Own,Married,No
41,117000,15,PhD,839,1,975000,Home,21,58500,865000,Own,Married,No
